City,Petrol_tax,Income,Prop_drivers_licenses,Consum_mill_gallons
1,7.918,3571,0.551,541
2,7.952,4092,0.534,524
3,7.878,3865,0.563,561
4,6.672,4870,0.415,414
5,7.18,4399,0.416,410
6,9.086,5342,0.465,457
7,8.312,5319,0.352,344
8,7.066,5126,0.47,467
9,7.072,4447,0.472,464
10,8.004,4512,0.503,498
11,6.84,4391,0.587,580
12,6.558,5126,0.478,471
13,4.95,4817,0.528,525
14,5.984,4207,0.512,508
15,5.868,4332,0.575,566
16,3.73,4318,0.639,635
17,5.794,4206,0.61,603
18,2.572,3718,0.714,714
19,3.27,4716,0.873,865
20,7.22,4341,0.646,640
21,5.702,4593,0.657,649
22,6.92,4983,0.543,540
23,8.072,4897,0.47,464
24,7.906,4258,0.552,547
25,7.58,4574,0.461,460
26,7.868,3721,0.576,566
27,6.846,3448,0.58,577
28,6.238,3846,0.818,631
29,6.852,4188,0.769,574
30,7.932,3601,0.742,534
31,5.858,3640,0.721,571
32,5.892,3333,0.783,554
33,6.846,3063,0.75,577
34,6.244,3357,0.658,628
35,7.026,3528,0.532,487
36,5.292,3802,0.789,644
37,3.72,4045,0.795,640
38,5.592,3897,0.906,704
39,7.204,3635,0.674,648
40,3.064,4345,0.93,968
41,7.326,4449,0.72,587
42,5.602,3656,0.861,699
43,5.736,4300,0.714,632
44,5.818,3745,0.767,591
45,4.436,5215,0.917,782
46,7.98,4476,0.514,510
47,5.78,4296,0.636,610
48,5.952,5002,0.609,524
